Date,Open,High,Low,Close,Adj Close,Volume
2017-11-06,151.770004,151.820007,150.279999,150.839996,147.891129,4498400
2017-11-07,151.369995,151.509995,150.500000,151.350006,148.391159,3701100
2017-11-08,151.600006,151.789993,150.279999,151.570007,148.606857,4634400
2017-11-09,149.929993,151.800003,149.860001,150.300003,148.834610,4776500
2017-11-10,150.649994,150.889999,149.139999,149.160004,147.705734,4307300
2017-11-13,148.880005,149.000000,147.919998,148.399994,146.953125,5107500
2017-11-14,147.949997,148.970001,147.490005,148.889999,147.438354,3758000
2017-11-15,148.000000,148.710007,146.210007,147.100006,145.665817,4773300
2017-11-16,147.729996,149.649994,147.500000,149.119995,147.666107,5446500
2017-11-17,149.339996,150.149994,148.830002,148.970001,147.517578,4916500
2017-11-20,150.639999,151.949997,149.899994,150.509995,149.042557,5676500
2017-11-21,151.300003,152.449997,151.199997,151.949997,150.468521,3756200
2017-11-22,152.000000,152.389999,151.330002,151.770004,150.290283,3213600
2017-11-24,151.949997,152.199997,151.330002,151.839996,150.359589,1193000
2017-11-27,152.059998,152.490005,151.619995,151.979996,150.498230,3374000
2017-11-28,152.350006,152.929993,151.699997,152.470001,150.983459,3973700
2017-11-29,152.809998,153.610001,152.169998,153.550003,152.052933,5098700
2017-11-30,153.649994,154.410004,153.080002,153.970001,152.468826,6500800
2017-12-01,154.399994,155.020004,152.910004,154.759995,153.251114,5567900
2017-12-04,155.960007,156.800003,155.070007,156.460007,154.934555,4664300
2017-12-05,156.449997,156.740005,154.679993,155.350006,153.835373,5068000
2017-12-06,154.100006,156.220001,154.089996,154.100006,152.597565,3410700
2017-12-07,153.589996,154.449997,153.259995,153.570007,152.072739,3771100
2017-12-08,154.979996,155.029999,153.550003,154.809998,153.300629,3520300
2017-12-11,155.460007,155.889999,154.570007,155.410004,153.894791,4102700
2017-12-12,157.300003,157.850006,155.160004,156.740005,155.211823,6321800
2017-12-13,156.600006,156.729996,153.889999,153.910004,152.409424,5661600
2017-12-14,154.600006,155.110001,153.699997,154.000000,152.498535,4637400
2017-12-15,153.610001,153.800003,152.029999,152.500000,151.013153,11279900
2017-12-18,153.589996,154.179993,153.210007,153.330002,151.835068,5092800
2017-12-19,154.050003,154.169998,153.089996,153.229996,151.736038,4116400
2017-12-20,153.649994,153.889999,152.779999,152.949997,151.458771,3785700
2017-12-21,153.169998,153.460007,151.490005,151.500000,150.022903,4153900
2017-12-22,151.820007,153.000000,151.500000,152.500000,151.013153,2990600
2017-12-26,152.509995,153.860001,152.500000,152.830002,151.339951,2479000
2017-12-27,152.949997,153.179993,152.610001,153.130005,151.637024,2149300
2017-12-28,153.199997,154.119995,153.199997,154.039993,152.538132,2687600
2017-12-29,154.169998,154.720001,153.419998,153.419998,151.924194,3327100
2018-01-02,154.500000,154.809998,153.539993,154.250000,152.746094,4202500
2018-01-03,157.339996,159.809998,156.330002,158.490005,156.944763,9441600
2018-01-04,159.649994,162.320007,159.369995,161.699997,160.123459,7556200
2018-01-05,162.440002,162.899994,161.100006,162.490005,160.905762,5195800
2018-01-08,162.660004,163.910004,161.699997,163.470001,161.876205,5237500
2018-01-09,163.899994,164.529999,163.059998,163.830002,162.232697,4341800
2018-01-10,162.910004,164.330002,162.500000,164.179993,162.579269,4174100
2018-01-11,164.800003,164.940002,163.300003,164.199997,162.599091,3794500
2018-01-12,164.020004,164.740005,163.029999,163.139999,161.549423,5031900
2018-01-16,165.100006,165.289993,163.350006,163.850006,162.252502,7794200
2018-01-17,168.009995,169.130005,167.259995,168.649994,167.005692,11710000
2018-01-18,170.000000,171.130005,168.149994,169.119995,167.471115,14259300
2018-01-19,164.460007,165.399994,161.300003,162.369995,160.786926,21172500
2018-01-22,161.509995,163.979996,161.110001,162.600006,161.014694,8480800
2018-01-23,162.820007,166.259995,162.509995,166.250000,164.629105,7466200
2018-01-24,166.750000,168.720001,164.820007,165.369995,163.757675,5645000
2018-01-25,165.910004,166.779999,165.190002,165.470001,163.856705,3302500
2018-01-26,166.119995,167.410004,165.789993,167.339996,165.708466,3787900
2018-01-29,167.449997,168.389999,166.009995,166.800003,165.173737,3517000
2018-01-30,166.210007,166.770004,163.160004,163.619995,162.024734,4902300
2018-03-02,152.789993,154.759995,151.880005,154.490005,154.490005,3261100
2018-03-05,154.119995,157.490005,153.750000,156.949997,156.949997,3670600
2018-03-06,157.279999,157.889999,155.160004,155.720001,155.720001,3685700
2018-03-07,155.000000,158.830002,154.729996,158.320007,158.320007,4607700
2018-03-08,159.000000,159.570007,155.070007,156.210007,156.210007,6455600
2018-03-09,157.470001,159.580002,157.300003,159.309998,159.309998,5022200
2018-03-12,159.639999,161.020004,158.869995,160.259995,160.259995,5063500
2018-03-13,160.089996,162.110001,158.809998,159.320007,159.320007,4185600
